ID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE
MICEXBMI,05/05/2017,1416.5,1428.69,1414.99,1428.69,26064990569
MICEXBMI,10/05/2017,1437.3,1446.98,1431.07,1446.98,32007207436
MICEXBMI,11/05/2017,1443.82,1445.7,1421.55,1429.17,31882142944
MICEXBMI,12/05/2017,1429.88,1430.04,1415.95,1423.43,25261539322
MICEXBMI,15/05/2017,1429.76,1432.59,1416.26,1429.53,31524077437
MICEXBMI,16/05/2017,1424.99,1428.78,1418.63,1422.38,31034152742
MICEXBMI,17/05/2017,1419.42,1426.9,1415.81,1423.43,25962596841
MICEXBMI,18/05/2017,1419.92,1425.05,1399.97,1404.46,41360870095
MICEXBMI,19/05/2017,1408.17,1411.21,1395.33,1401.03,31600795359
MICEXBMI,22/05/2017,1402.15,1402.15,1386.43,1392.5,24041952291
MICEXBMI,23/05/2017,1391.87,1403.55,1389.26,1399.6,28062831074
MICEXBMI,24/05/2017,1402.01,1403.21,1383.48,1393.83,29107334201
MICEXBMI,25/05/2017,1397.9,1399.91,1385.94,1390.76,26099573346
MICEXBMI,26/05/2017,1387.53,1389.18,1379.08,1381.6,31160889284
MICEXBMI,29/05/2017,1382.89,1389.9,1379.98,1386.41,20996914445
MICEXBMI,30/05/2017,1382.67,1385.66,1376.99,1380.97,25754505583
MICEXBMI,31/05/2017,1381.36,1383.49,1353.13,1357.8,72508579316
MICEXBMI,01/06/2017,1358.56,1360.78,1331.59,1336.3,42962855502
MICEXBMI,02/06/2017,1331.58,1344.83,1322.26,1344.83,36490380587
MICEXBMI,05/06/2017,1347.69,1353.83,1337.79,1341.97,23721994849
MICEXBMI,06/06/2017,1342.21,1345.61,1335.15,1336.47,21340479918
MICEXBMI,07/06/2017,1339.16,1350.01,1335.04,1335.34,27146124936
MICEXBMI,08/06/2017,1338.21,1339.46,1323.3,1339.12,33853510146
MICEXBMI,09/06/2017,1336.44,1349.44,1333.84,1345.48,25717753944
MICEXBMI,13/06/2017,1336.22,1336.6,1327.27,1329.93,30126764771
MICEXBMI,14/06/2017,1329.36,1330.49,1310.98,1313.62,37051650320
MICEXBMI,15/06/2017,1307.56,1307.91,1268.51,1299.1,91739976451
MICEXBMI,16/06/2017,1301.82,1310.54,1295.07,1303.03,41026577891
